SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing
PCMRS0700115,4900.11003 P100  BEARING CUP ON COVER,0,1,1,Final force [Kg],9000,12000,14240.31,NOT OK,
PCMRS0700115,4900.11003 P100  BEARING CUP ON COVER,0,1,2,Final position [mm],100,500,411.83,OK,
PCMRS0700115,4900.11003 P100  BEARING CUP ON COVER,0,1,1,Final force [Kg],9000,12000,10474.53,OK,
PCMRS0700115,4900.11003 P100  BEARING CUP ON COVER,0,1,2,Final position [mm],100,500,411.93,OK,
PCMRS0700115,4900.11003 P100  BEARING CUP ON COVER 2,0,3,1,Final force [Kg],8500,15000,9081.41,OK,
PCMRS0700115,4900.11003 P100  BEARING CUP ON COVER 2,0,3,2,Final position [mm],100,600,351.98,OK,
PCMRS0700115,4900.11003 P100 INF BEARING ON PINION,0,5,1,Final force [Kg],8500,15000,15385.29,NOT OK,
PCMRS0700115,4900.11003 P100 INF BEARING ON PINION,0,5,2,Final position [mm],190,280,217.61,OK,
PCMRS0700115,4900.11003 P100 INF BEARING ON PINION,0,5,1,Final force [Kg],8500,15000,12259.47,OK,
PCMRS0700115,4900.11003 P100 INF BEARING ON PINION,0,5,2,Final position [mm],190,280,215.54,OK,
PCMRS0700115,4900.11003 P100 SUP BEARING ON PINION,0,7,1,Final force [Kg],5000,8000,6508.49,OK,
PCMRS0700115,4900.11003 P100 SUP BEARING ON PINION,0,7,2,Final position [mm],150,220,186.85,OK,
PCMRS0700115,4900.11003 P100 SHIM PACK,0,8,1,Total Shim Thickness [mm],8.9,10,9.533,OK,
PCMRS0700115,4900.11003 P100 RING RETAINER,0,9,1,Final force [Kg],7000,10000,8162.82,OK,
PCMRS0700115,4900.11003 P100 RING RETAINER,0,9,2,Final position [mm],150,350,182.67,OK,
PCMRS0700115,4900.11003 P100 RING RETAINER CHECK,0,10,1,Measure [mm],-20,20,-0.11,OK,
