SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing
PCMRS0700115,500QT P160 BOLTS 1,0,6,1,Bolts tightened,22,22,22,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,2,BOLT 1: Angle [°],1,360,83,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,3,BOLT 1: Torque [Nm],319,353,337.3,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,4,BOLT 2: Angle [°],1,360,80,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,5,BOLT 2: Torque [Nm],319,353,336.5,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,6,BOLT 3: Angle [°],1,360,92,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,7,BOLT 3: Torque [Nm],319,353,337,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,8,BOLT 4: Angle [°],1,360,84,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,9,BOLT 4: Torque [Nm],319,353,336.1,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,10,BOLT 5: Angle [°],1,360,94,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,11,BOLT 5: Torque [Nm],319,353,336.8,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,12,BOLT 6: Angle [°],1,360,86,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,13,BOLT 6: Torque [Nm],319,353,336,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,14,BOLT 7: Angle [°],1,360,37,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,15,BOLT 7: Torque [Nm],319,353,336.1,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,16,BOLT 8: Angle [°],1,360,175,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,17,BOLT 8: Torque [Nm],319,353,336.6,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,18,BOLT 9: Angle [°],1,360,170,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,19,BOLT 9: Torque [Nm],319,353,336,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,20,BOLT 10: Angle [°],1,360,168,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,21,BOLT 10: Torque [Nm],319,353,337.1,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,22,BOLT 11: Angle [°],1,360,190,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,23,BOLT 11: Torque [Nm],319,353,336.7,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,24,BOLT 12: Angle [°],1,360,205,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,25,BOLT 12: Torque [Nm],319,353,336.6,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,26,BOLT 13: Angle [°],1,360,165,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,27,BOLT 13: Torque [Nm],319,353,336.1,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,28,BOLT 14: Angle [°],1,360,84,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,29,BOLT 14: Torque [Nm],319,353,336.3,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,30,BOLT 15: Angle [°],1,360,87,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,31,BOLT 15: Torque [Nm],319,353,336.1,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,32,BOLT 16: Angle [°],1,360,76,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,33,BOLT 16: Torque [Nm],319,353,336.3,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,34,BOLT 17: Angle [°],1,360,4,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,35,BOLT 17: Torque [Nm],319,353,343.1,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,36,BOLT 18: Angle [°],1,360,5,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,37,BOLT 18: Torque [Nm],319,353,346.1,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,38,BOLT 19: Angle [°],1,360,103,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,39,BOLT 19: Torque [Nm],319,353,337.2,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,40,BOLT 20: Angle [°],1,360,3,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,41,BOLT 20: Torque [Nm],319,353,349.9,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,42,BOLT 21: Angle [°],1,360,3,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,43,BOLT 21: Torque [Nm],319,353,347.7,OK,OK
PCMRS0700115,500QT P160 BOLTS 1,0,6,44,BOLT 22: Angle [°],1,360,66,OK,
PCMRS0700115,500QT P160 BOLTS 1,0,6,45,BOLT 22: Torque [Nm],319,353,336.2,OK,OK
