SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Drawing Range
PCMRS0700115,600QTP130_COVER PINION SHIM CHECK,0,16,1,[PIN SHIMS] Shim Thickness [mm],-0.1064988,0.09350117,0.01,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE 1,0,18,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE 1,0,18,2,BOLT 1: Angle [°],0,3610,3600,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE 1,0,18,3,BOLT 1: Torque [Nm],3,50,19.6,OK,OK,
PCMRS0700115,600QTP130_RESHIM,0,20,1,[LBRK] Brake Value:,-999,999,0.74,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,2,[LDIFF] Diff. Value:,-999,999,0.97,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,3,[LPIN] Pinion Value:,-999,999,0.76,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,4,Sum:,1.5733,1.7733,1.71,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,2,BOLT 1: Angle [°],0,3610,3600,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,3,BOLT 1: Torque [Nm],3,50,20.6,OK,OK,
PCMRS0700115,600QTP130_BACKLASH,0,23,1,Backlash 1 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH,0,23,2,Backlash 2 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH,0,23,3,Difference [mm],0.25,0.32,0,NOT OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,1,[LBRK] Brake Value:,-999,999,0.74,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,2,[LDIFF] Diff. Value:,-999,999,0.97,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,3,[LPIN] Pinion Value:,-999,999,0.5,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,4,Sum:,1.5733,1.7733,1.71,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,2,BOLT 1: Angle [°],0,3610,3600,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,3,BOLT 1: Torque [Nm],3,50,19.8,OK,OK,
PCMRS0700115,600QTP130_BACKLASH,0,23,1,Backlash 1 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH,0,23,2,Backlash 2 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH,0,23,3,Difference [mm],0.25,0.32,0,NOT OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,1,[LBRK] Brake Value:,-999,999,0.64,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,2,[LDIFF] Diff. Value:,-999,999,1.13,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,3,[LPIN] Pinion Value:,-999,999,0.5,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,4,Sum:,1.5733,1.7733,1.77,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,2,BOLT 1: Angle [°],0,3610,3601,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,3,BOLT 1: Torque [Nm],3,50,20.3,OK,OK,
PCMRS0700115,600QTP130_BACKLASH,0,23,1,Backlash 1 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH,0,23,2,Backlash 2 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH,0,23,3,Difference [mm],0.25,0.32,0,NOT OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,1,[LBRK] Brake Value:,-999,999,0.64,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,2,[LDIFF] Diff. Value:,-999,999,1.13,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,3,[LPIN] Pinion Value:,-999,999,0.6,OK,,
PCMRS0700115,600QTP130_RESHIM,0,20,4,Sum:,1.5733,1.7733,1.77,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,2,BOLT 1: Angle [°],0,3610,3601,OK,,
PCMRS0700115,600QTP130_ROTATING YOKE,0,21,3,BOLT 1: Torque [Nm],3,50,20.6,OK,OK,
PCMRS0700115,600QTP130_BACKLASH,0,23,1,Backlash 1 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH,0,23,2,Backlash 2 [mm],-999,999,0.29,OK,,
PCMRS0700115,600QTP130_BACKLASH,0,23,3,Difference [mm],0.25,0.32,0.29,OK,,
PCMRS0700115,600QTP130_BACKLASH 2,0,24,1,Backlash 1 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH 2,0,24,2,Backlash 2 [mm],-999,999,0.3,OK,,
PCMRS0700115,600QTP130_BACKLASH 2,0,24,3,Difference [mm],0.25,0.32,0.3,OK,,
PCMRS0700115,600QTP130_BACKLASH 3,0,25,1,Backlash 1 [mm],-999,999,0,OK,,
PCMRS0700115,600QTP130_BACKLASH 3,0,25,2,Backlash 2 [mm],-999,999,0.31,OK,,
PCMRS0700115,600QTP130_BACKLASH 3,0,25,3,Difference [mm],0.25,0.32,0.31,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,1,Bolts tightened,12,12,12,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,2,BOLT 1: Angle [°],1,360,25,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,3,BOLT 1: Torque [Nm],89,100,95,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,4,BOLT 2: Angle [°],1,360,25,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,5,BOLT 2: Torque [Nm],89,100,94.8,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,6,BOLT 3: Angle [°],1,360,24,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,7,BOLT 3: Torque [Nm],89,100,95.5,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,8,BOLT 4: Angle [°],1,360,23,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,9,BOLT 4: Torque [Nm],89,100,95.1,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,10,BOLT 5: Angle [°],1,360,23,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,11,BOLT 5: Torque [Nm],89,100,94.9,OK,OK,91-123
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,12,BOLT 6: Angle [°],1,360,24,OK,,
PCMRS0700115,600QTP130_BOLTS ON DIFF CARRIER 1,0,27,13,BOLT 6: Torque [Nm],89,100,94.7,OK,OK,91-123
