SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Drawing Range
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,0,4,8,BOLT 4: Angle [°],1,360,63,OK,,
PCMRS0700115,4900.92010 P520 BOLTS ON NUT 1,0,4,9,BOLT 4: Torque [Nm],32.5,43.9,39,OK,OK,
PCMRS0700115,4900.92010 P520 PLUGS,0,5,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.92010 P520 PLUGS,0,5,2,BOLT 1: Angle [°],1,360,14,OK,,
PCMRS0700115,4900.92010 P520 PLUGS,0,5,3,BOLT 1: Torque [Nm],105,110,107.3,OK,NOT OK,100 - 110
PCMRS0700115,4900.92010 P520 LEAKAGE TEST,0,8,1,Result [0 = Stopped; 1 = Excuted],1,1,1,OK,,
PCMRS0700115,4900.92010 P520 TECNA GET RESULTS,0,9,1,Charged pressure [bar],0.38,0.42,0.37987,NOT OK,,
PCMRS0700115,4900.92010 P520 TECNA GET RESULTS,0,9,2,Leakage [mbar],-8,8,0,OK,,
PCMRS0700115,4900.92010 P520 LEAKAGE TEST,0,8,1,Result [0 = Stopped; 1 = Excuted],1,1,1,OK,,
PCMRS0700115,4900.92010 P520 TECNA GET RESULTS,0,9,1,Charged pressure [bar],0.38,0.42,0.37986,NOT OK,,
PCMRS0700115,4900.92010 P520 TECNA GET RESULTS,0,9,2,Leakage [mbar],-8,8,0,OK,,
PCMRS0700115,4900.92010 P520 LEAKAGE TEST,0,8,1,Result [0 = Stopped; 1 = Excuted],1,1,1,OK,,
PCMRS0700115,4900.92010 P520 TECNA GET RESULTS,0,9,1,Charged pressure [bar],0.38,0.42,0.39228,OK,,
PCMRS0700115,4900.92010 P520 TECNA GET RESULTS,0,9,2,Leakage [mbar],-8,8,3.242,OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,1,Initial rolling torque (dualcone) [Nm],13,19,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,2,Final rolling torque [Nm],24,31,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,1,Initial rolling torque (dualcone) [Nm],13,19,11.3,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,2,Final rolling torque [Nm],24,31,11.3,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,1,Initial rolling torque (dualcone) [Nm],13,19,11.3,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,2,Final rolling torque [Nm],24,31,11.3,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,1,Initial rolling torque (dualcone) [Nm],13,19,10.6,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,2,Final rolling torque [Nm],24,31,10.6,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,1,Initial rolling torque (dualcone) [Nm],13,19,10.6,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,2,Final rolling torque [Nm],24,31,10.6,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,1,Initial rolling torque (dualcone) [Nm],13,19,10.3,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,2,Final rolling torque [Nm],24,31,10.3,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,1,Initial rolling torque (dualcone) [Nm],13,19,12,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,2,Final rolling torque [Nm],24,31,12,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,1,Initial rolling torque (dualcone) [Nm],13,19,12,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,2,Final rolling torque [Nm],24,31,12,NOT OK,,
PCMRS0700115,4900.92010 P520 NUT TIGHTEN,1,2,3,Number of attempts,1,18,0,NOT OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,3,2,1,Final force [Kg],20000,23500,21525,OK,,
PCMRS0700115,4900.92010 P500 CONE BEARING ONTO SHAFT,3,2,2,Final position [mm],90,140,111,OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,2,2,1,Final force [Kg],18000,23000,0,NOT OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,2,2,2,Final position [mm],200,500,0,NOT OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,2,2,1,Final force [Kg],18000,23000,19769.52,OK,,
PCMRS0700115,4900.92010 P510 CUP BEARING,2,2,2,Final position [mm],200,500,254,OK,,
