SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Range in Drawing
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,26,BOLT 13: Angle [°],1,360,46,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,27,BOLT 13: Torque [Nm],319,353,336.1,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,28,BOLT 14: Angle [°],1,360,52,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,29,BOLT 14: Torque [Nm],319,353,337.1,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,30,BOLT 15: Angle [°],1,360,45,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,31,BOLT 15: Torque [Nm],319,353,337.2,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,32,BOLT 16: Angle [°],1,360,56,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,33,BOLT 16: Torque [Nm],319,353,336.6,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,34,BOLT 17: Angle [°],1,360,46,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,35,BOLT 17: Torque [Nm],319,353,339.1,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,36,BOLT 18: Angle [°],1,360,51,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,37,BOLT 18: Torque [Nm],319,353,336.6,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,38,BOLT 19: Angle [°],1,360,54,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,39,BOLT 19: Torque [Nm],319,353,336,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,40,BOLT 20: Angle [°],1,360,52,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,41,BOLT 20: Torque [Nm],319,353,336.1,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,42,BOLT 21: Angle [°],1,360,49,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,43,BOLT 21: Torque [Nm],319,353,336.8,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,44,BOLT 22: Angle [°],1,360,60,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,45,BOLT 22: Torque [Nm],319,353,336.3,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,46,BOLT 23: Angle [°],1,360,3,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,47,BOLT 23: Torque [Nm],319,353,338.8,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,48,BOLT 24: Angle [°],1,360,2,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,49,BOLT 24: Torque [Nm],319,353,340.2,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,50,BOLT 25: Angle [°],1,360,3,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,51,BOLT 25: Torque [Nm],319,353,338.9,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,52,BOLT 26: Angle [°],1,360,3,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,53,BOLT 26: Torque [Nm],319,353,336.1,OK,OK,
PCMRS0700115,4900.11004 P310 PLUG M18X1.5,0,3,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P310 PLUG M18X1.5,0,3,2,BOLT 1: Angle [°],1,360,12,OK,,
PCMRS0700115,4900.11004 P310 PLUG M18X1.5,0,3,3,BOLT 1: Torque [Nm],70,77,73.4,OK,OK,
PCMRS0700115,4900.11004 P310 LOCTITE ON CENTER HOUSING SX,0,4,1,Height,4.5,5.5,5.47,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,1,Bolts tightened,26,26,26,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,2,BOLT 1: Angle [°],1,360,53,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,3,BOLT 1: Torque [Nm],319,353,336.8,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,4,BOLT 2: Angle [°],1,360,52,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,5,BOLT 2: Torque [Nm],319,353,336,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,6,BOLT 3: Angle [°],1,360,53,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,7,BOLT 3: Torque [Nm],319,353,336.5,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,8,BOLT 4: Angle [°],1,360,55,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,9,BOLT 4: Torque [Nm],319,353,336.9,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,10,BOLT 5: Angle [°],1,360,56,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,11,BOLT 5: Torque [Nm],319,353,336.4,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,12,BOLT 6: Angle [°],1,360,56,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,13,BOLT 6: Torque [Nm],319,353,336.7,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,14,BOLT 7: Angle [°],1,360,61,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,15,BOLT 7: Torque [Nm],319,353,337,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,16,BOLT 8: Angle [°],1,360,55,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,17,BOLT 8: Torque [Nm],319,353,336.6,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,18,BOLT 9: Angle [°],1,360,63,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,19,BOLT 9: Torque [Nm],319,353,337,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,20,BOLT 10: Angle [°],1,360,72,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,21,BOLT 10: Torque [Nm],319,353,336.6,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,22,BOLT 11: Angle [°],1,360,49,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,23,BOLT 11: Torque [Nm],319,353,336.7,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,24,BOLT 12: Angle [°],1,360,48,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,25,BOLT 12: Torque [Nm],319,353,336.4,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,26,BOLT 13: Angle [°],1,360,53,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,27,BOLT 13: Torque [Nm],319,353,336.6,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,28,BOLT 14: Angle [°],1,360,56,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,29,BOLT 14: Torque [Nm],319,353,337.2,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,30,BOLT 15: Angle [°],1,360,49,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,31,BOLT 15: Torque [Nm],319,353,337,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,32,BOLT 16: Angle [°],1,360,50,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,33,BOLT 16: Torque [Nm],319,353,337.8,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,34,BOLT 17: Angle [°],1,360,49,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,35,BOLT 17: Torque [Nm],319,353,338,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,36,BOLT 18: Angle [°],1,360,48,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,37,BOLT 18: Torque [Nm],319,353,337.5,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,38,BOLT 19: Angle [°],1,360,46,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,39,BOLT 19: Torque [Nm],319,353,336.8,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,40,BOLT 20: Angle [°],1,360,44,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,41,BOLT 20: Torque [Nm],319,353,336.6,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,42,BOLT 21: Angle [°],1,360,50,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,43,BOLT 21: Torque [Nm],319,353,336.6,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,44,BOLT 22: Angle [°],1,360,52,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,45,BOLT 22: Torque [Nm],319,353,336.8,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,46,BOLT 23: Angle [°],1,360,2,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,47,BOLT 23: Torque [Nm],319,353,339.3,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,48,BOLT 24: Angle [°],1,360,3,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,49,BOLT 24: Torque [Nm],319,353,338,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,50,BOLT 25: Angle [°],1,360,2,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,51,BOLT 25: Torque [Nm],319,353,338.9,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,52,BOLT 26: Angle [°],1,360,4,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING SX,0,5,53,BOLT 26: Torque [Nm],319,353,336.2,OK,OK,
PCMRS0700115,4900.11004 P310 PLUG M18X1.5 2,0,6,1,Bolts tightened,1,1,1,OK,,
PCMRS0700115,4900.11004 P310 PLUG M18X1.5 2,0,6,2,BOLT 1: Angle [°],1,360,17,OK,,
PCMRS0700115,4900.11004 P310 PLUG M18X1.5 2,0,6,3,BOLT 1: Torque [Nm],70,77,73.2,OK,OK,
PCMRS0700115,4900.11004 P310 PLUG BRACKET AXLE,0,7,1,Bolts tightened,2,2,2,OK,,
PCMRS0700115,4900.11004 P310 PLUG BRACKET AXLE,0,7,2,BOLT 1: Angle [°],1,360,27,OK,,
PCMRS0700115,4900.11004 P310 PLUG BRACKET AXLE,0,7,3,BOLT 1: Torque [Nm],70,77,73.1,OK,NOT OK,91-123
PCMRS0700115,4900.11004 P310 PLUG BRACKET AXLE,0,7,4,BOLT 2: Angle [°],1,360,23,OK,,
PCMRS0700115,4900.11004 P310 PLUG BRACKET AXLE,0,7,5,BOLT 2: Torque [Nm],70,77,73.3,OK,NOT OK,91-123
