SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing,Range in Drawing
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,1,Bolts tightened,26,26,2,NOT OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,2,BOLT 1: Angle [°],1,360,53,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,3,BOLT 1: Torque [Nm],319,353,336.1,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,4,BOLT 2: Angle [°],1,360,54,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,5,BOLT 2: Torque [Nm],319,353,336.7,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,1,Bolts tightened,26,26,26,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,2,BOLT 1: Angle [°],1,360,44,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,3,BOLT 1: Torque [Nm],319,353,336.5,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,4,BOLT 2: Angle [°],1,360,54,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,5,BOLT 2: Torque [Nm],319,353,336.8,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,6,BOLT 3: Angle [°],1,360,43,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,7,BOLT 3: Torque [Nm],319,353,337,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,8,BOLT 4: Angle [°],1,360,49,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,9,BOLT 4: Torque [Nm],319,353,337,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,10,BOLT 5: Angle [°],1,360,47,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,11,BOLT 5: Torque [Nm],319,353,336.8,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,12,BOLT 6: Angle [°],1,360,48,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,13,BOLT 6: Torque [Nm],319,353,336.1,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,14,BOLT 7: Angle [°],1,360,45,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,15,BOLT 7: Torque [Nm],319,353,337,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,16,BOLT 8: Angle [°],1,360,49,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,17,BOLT 8: Torque [Nm],319,353,337.4,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,18,BOLT 9: Angle [°],1,360,52,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,19,BOLT 9: Torque [Nm],319,353,336.9,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,20,BOLT 10: Angle [°],1,360,50,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,21,BOLT 10: Torque [Nm],319,353,337,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,22,BOLT 11: Angle [°],1,360,52,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,23,BOLT 11: Torque [Nm],319,353,336.5,OK,OK,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,24,BOLT 12: Angle [°],1,360,51,OK,,
PCMRS0700115,4900.11004 P310 DROPBOX ON CENTER HOUSING DX,0,2,25,BOLT 12: Torque [Nm],319,353,336.5,OK,OK,
