SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq,Match with Drawing
PCMRS0700115,500QT P170 BOLTS 1,0,6,1,Bolts tightened,22,22,13,NOT OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,2,BOLT 1: Angle [°],1,360,24,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,3,BOLT 1: Torque [Nm],319,353,336.4,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,4,BOLT 2: Angle [°],1,360,83,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,5,BOLT 2: Torque [Nm],319,353,336.4,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,6,BOLT 3: Angle [°],1,360,88,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,7,BOLT 3: Torque [Nm],319,353,337.5,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,8,BOLT 4: Angle [°],1,360,69,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,9,BOLT 4: Torque [Nm],319,353,336.9,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,10,BOLT 5: Angle [°],1,360,76,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,11,BOLT 5: Torque [Nm],319,353,336.6,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,12,BOLT 6: Angle [°],1,360,80,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,13,BOLT 6: Torque [Nm],319,353,336.4,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,14,BOLT 7: Angle [°],1,360,57,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,15,BOLT 7: Torque [Nm],319,353,336.7,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,16,BOLT 8: Angle [°],1,360,4,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,17,BOLT 8: Torque [Nm],319,353,349.7,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,18,BOLT 9: Angle [°],1,360,153,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,19,BOLT 9: Torque [Nm],319,353,337.5,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,20,BOLT 10: Angle [°],1,360,9,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,21,BOLT 10: Torque [Nm],319,353,337.7,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,22,BOLT 11: Angle [°],1,360,151,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,23,BOLT 11: Torque [Nm],319,353,336.6,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,24,BOLT 12: Angle [°],1,360,163,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,25,BOLT 12: Torque [Nm],319,353,337.1,OK,OK
PCMRS0700115,500QT P170 BOLTS 1,0,6,26,BOLT 13: Angle [°],1,360,76,OK,
PCMRS0700115,500QT P170 BOLTS 1,0,6,27,BOLT 13: Torque [Nm],319,353,336.7,OK,OK
