SN,Phase_ID,Phase_Rev,Phase_Number,ID_Acq,Description_Acq,min,max,Value_Acq,Status_Acq
PCMRS0700115,4900.20000 P110 EXPANDING PLUG,0,1,1,Rivet,1,1,1,OK
PCMRS0700115,4900.20000 P110 BEARING CONE,0,2,2,Final position [mm],100,200,155.15,OK
PCMRS0700115,3900.7005 P110 CARRIER BEARING ASSY LH DIFF,0,4,1,Final force [Kg],3500,8000,0,NOT OK
PCMRS0700115,3900.7005 P110 CARRIER BEARING ASSY LH DIFF,0,4,2,Final position [mm],100,200,0,NOT OK
PCMRS0700115,3900.7005 P110 CARRIER BEARING ASSY LH DIFF,0,4,1,Final force [Kg],3500,8000,5496.96,OK
PCMRS0700115,3900.7005 P110 CARRIER BEARING ASSY LH DIFF,0,4,2,Final position [mm],100,200,147.09,OK
